key,num,rank,orig,file,name,search,artifacts
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/It_Was_Hot,_We_Stayed_in_the_Water"", ""It Was Hot, We Stayed in the Water"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/The_Glow_Pt._2"", ""The Glow Pt. 2"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Wind%27s_Poem"", ""Wind's Poem"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Blackberry_Way"", ""Blackberry Way"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Oral_Fixation,_Vol._2"", ""Oral Fixation, Vol. 2"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Condition_Critical_(White_Noise_Owl_album)"", ""Condition Critical"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Something_(To_Make_You_Feel_Alright)"", ""Something (To Make You Feel Alright)"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Something_(film)"", ""Something (film)"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Something_for_Everybody_(Devo_album)"", ""Something for Everybody"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Some_Things"", ""Some Things"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Anything_(disambiguation)"", ""Anything (disambiguation)"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Everything_(disambiguation)"", ""Everything (disambiguation)"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Nothing_(disambiguation)"", ""Nothing (disambiguation)"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Thing_(disambiguation)"", ""Thing (disambiguation)"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/File:Disambig_gray.svg"", ""/wiki/File:Disambig_gray.svg"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Help:Disambiguation"", ""disambiguation"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Something&namespace=0"", ""internal link"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/w/index.php?title=Something&oldid=1153754352"", ""/w/index.php"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Help:Category"", ""Category"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Category:Disambiguation_pages"", ""Disambiguation pages"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Category:Wikipedia_pages_semi-protected_against_vandalism"", ""/wiki/Category:Wikipedia_pages_semi-protected_against_vandalism"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Category:Short_description_is_different_from_Wikidata"", ""/wiki/Category:Short_description_is_different_from_Wikidata"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Category:All_article_disambiguation_pages"", ""/wiki/Category:All_article_disambiguation_pages"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Category:All_disambiguation_pages"", ""/wiki/Category:All_disambiguation_pages"")"
,,,,,,,"=HYPERLINK(""https://creativecommons.org/licenses/by-sa/4.0/"", ""Creative Commons Attribution-ShareAlike License 4.0"")"
,,,,,,,"=HYPERLINK(""https://creativecommons.org/licenses/by-sa/4.0/"", ""/licenses/by-sa/4.0/"")"
,,,,,,,"=HYPERLINK(""https://foundation.wikimedia.org/wiki/Terms_of_Use"", ""Terms of Use"")"
,,,,,,,"=HYPERLINK(""https://foundation.wikimedia.org/wiki/Privacy_policy"", ""Privacy Policy"")"
,,,,,,,"=HYPERLINK(""https://www.wikimediafoundation.org/"", ""Wikimedia Foundation, Inc."")"
,,,,,,,"=HYPERLINK(""https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy"", ""Privacy policy"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Wikipedia:About"", ""About Wikipedia"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer"", ""Disclaimers"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Wikipedia:Contact_us"", ""Contact Wikipedia"")"
,,,,,,,"=HYPERLINK(""https://foundation.wikimedia.org/wiki/Special:MyLanguage/Universal_Code_of_Conduct"", ""Code of Conduct"")"
,,,,,,,"=HYPERLINK(""https://en.m.wikipedia.org/w/index.php?title=Something&mobileaction=toggle_view_mobile"", ""Mobile view"")"
,,,,,,,"=HYPERLINK(""https://developer.wikimedia.org/"", ""Developers"")"
,,,,,,,"=HYPERLINK(""https://stats.wikimedia.org/#/en.wikipedia.org"", ""Statistics"")"
,,,,,,,"=HYPERLINK(""https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement"", ""Cookie statement"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Something#"", ""/wiki/Something"")"
,,,,,,,"=HYPERLINK(""https://wikimediafoundation.org/"", ""/"")"
,,,,,,,"=HYPERLINK(""https://www.mediawiki.org/"", ""/"")"
,,,,,,,"=HYPERLINK(""https://en.wikipedia.org/wiki/Something?action=edit"", ""/wiki/Something"")"
